Wort,Anzahl
Bereichen,17
Energie,19
grenzüberschreitende,17
profitieren,17
beenden,17
Chancen,17
Russland,17
schafft,16
Krieg,16
verteidigen,16
sollten,16
Aufgabe,16
Institutionen,18
helfen,16
Einklang,16
öffentliche,16
Bildung,16
Projekte,16
umgesetzt,16
Ziele,16
Arbeitsbedingungen,16
Rat,16
KMU,19
begrüßen,16
digitaler,16
Angebote,16
Umgang,16
stärkt,15
bedeutet,15
massiv,15
Vertrauen,15
Instrumente,15
Finanzierung,15
Kriterien,16
Einführung,15
EU-Mitgliedstaaten,15
internationaler,15
wirtschaftliche,15
gewährleisten,15
Einhaltung,15
Tiere,15
Kooperation,15
gestärkt,15
gesellschaftlichen,14
Interessen,14
nächsten,14
klimaneutralen,14
Zeiten,14
Umwelt,14
europäisch,15
Pariser,14
Integration,15
Industriepolitik,14
nachhaltig,14
wirksam,14
stellt,14
gesamten,14
lehnen,14
ökologische,14
regionale,14
Partnerschaften,14
Handel,15
gehören,14
Souveränität,14
sichere,14
KI,26
Zentrum,14
schneller,14
Vernetzung,14
Lieferketten,15
konsequente,14
Desinformation,14
besondere,14
Angriffskrieg,13
Infrastrukturunion,13
nachhaltiger,13
USA,13
Modernisierung,13
Regulierung,13
Alltag,13
Jobs,13
Ressourcen,13
Wasser,13
umfassende,13
Emissionen,14
entschieden,13
reduzieren,13
Möglichkeiten,13
prüfen,13
erhöhen,13
ausreichend,13
Programm,19
sozialer,13
zentrale,13
Medien,13
Kampf,13
Richtlinie,20
Auswirkungen,13
Engagement,13
demokratische,14
Wertschöpfung,13
Perspektiven,13
Partnerschaft,13
Europäer*innen,12
russischen,12
Klimaneutralität,12
klimaneutrale,12
strategische,12
Bedingungen,12
Dienstleistungen,12
gestellt,12
aktive,12
Potenziale,12
Behinderung,12
gezeigt,12
steigenden,12
verstärkt,12
Anwendung,12
einfacher,12
Beratung,12
Basis,12
Verfügung,12
Entscheidungen,13
nationale,12
wichtigen,12
starken,12
Verhandlungen,12
Instrument,13
Rohstoffen,12
sogenannte,12
bedroht,12
Beteiligung,12
Prävention,12
Regierungen,12
Menschenhandel,12
Partner,12
Wandel,12
Arbeitsplätze,11
entstehen,11
natürlichen,11
global,11
sozial,11
Regelungen,12
vielfältige,11
Ökosysteme,11
European,13
Binnenmarkt,13
EU-weit,11
Wirtschafts,11
Behörden,11
Lage,11
gerechte,11
entscheiden,11
notwendigen,11
Bevölkerung,11
Reform,11
inklusive,11
bestehende,11
Abhängigkeiten,11
hohe,11
klimaneutral,11
verankern,11
Vorbild,11
Kreislaufwirtschaft,11
Ansatz,14
Arbeitsmarkt,11
leichter,11
Anerkennung,11
Drittstaaten,11
Migration,11
umsetzen,11
Nutzer*innen,12
Armut,11
Bedeutung,12
vereinfachen,11
effektiv,11
Weise,11
lokale,11
UN,29
zivilgesellschaftlichen,11
europaweite,11
Ausgrenzung,11
Familien,12
Formen,11
Hilfe,11
Menschenrechts-Verteidiger*innen,11
Entwicklungszusammenarbeit,11
Beziehungen,11
Kräfte,10
all,10
Innovation,10
bekommen,10
Stahl,10
Lösungen,12
Herausforderung,10
Partnern,10
ländlichen,10
Mobilität,10
hierfür,10
Strom,10
nutzbar,10
Chance,10
Energieversorgung,10
garantieren,10
Art,10
Kosten,10
Form,10
umfassenden,10
verlässliche,10
hohen,10
Russlands,10
vorantreiben,10
grünen,10
gefördert,10
sichert,11
Bundesregierung,10
Baustein,10
Gesellschaften,10
Erhalt,10
orientieren,10
ältere,10
Betriebe,10
ambitionierte,10
Gemeinschaft,10
Akteure,10
transparent,10
fest,10
Wissenschaft,10
Krankheiten,10
Europe,14
fördert,10
Initiative,15
grenzüberschreitenden,10
erfolgen,10
staatliche,10
Durchsetzung,10
Gestaltung,10
Hass,10
weiterentwickeln,10
geschützt,10
berücksichtigt,10
Landwirt*innen,10
Erfahrungen,10
Handelsabkommen,10
Antibiotika,10
Korruption,10
Außengrenzen,10
Familie,9
international,9
übernehmen,9
Solidarität,9
Versprechen,9
sicheren,9
Interesse,9
Green,10
wirken,9
Ideen,9
innovative,9
Zukunftstechnologien,9
zunehmend,9
Gemeinsam,9
unabhängige,9
Rahmenbedingungen,9
genutzt,9
Risiken,9
Sanktionen,9
zentraler,9
Fortschritte,9
umzusetzen,9
zukünftig,9
Weiterentwicklung,9
effektive,9
vertiefen,9
Act,10
gezielt,9
Schaffung,9
sichergestellt,9
stärkere,9
zugänglich,9
effektiven,9
Horizon,9
Partnerländern,9
Überwachung,9
verschiedenen,9
hinweg,9
Plattformen,10
Rohstoffe,9
verfolgt,9
voranbringen,9
Einfluss,9
Abkommen,12
Verfolgung,9
wirksame,9
Ernährung,9
Selbstbestimmung,9
Betroffene,9
Sport,9
lernen,9
europäisches,9
Kriminalität,9
enge,9
Regime,9
Journalist*innen,9
Mädchen,9
Regierung,9
Geflüchteten,9
Wunsch,8
heißt,8
verbunden,8
wirtschaftlicher,8
Lebensqualität,8
investieren,8
sorgt,8
Anspruch,8
Deal,8
demokratischer,9
Schlüssel,8
Sicherheitspolitik,8
unabhängig,8
abbauen,8
sicherzustellen,8
zusammenarbeiten,8
etablieren,8
Verwendung,8
ausrichten,8
bekämpfen,8
erheblich,8
Ansätze,8
vermeiden,8
einschließlich,8
berücksichtigen,8
Prozesse,8
Wiederherstellung,8
Tierhaltung,8
Flächen,8
Prinzipien,9
Bestandteil,8
gerecht,8
gerechten,8
Pandemie,8
politisch,8
Resilienz,8
Infrastrukturen,8
vielfältigen,8
zentral,8
leistet,8
grüne,8
geschaffen,8
durchzusetzen,8
Fachkräfte,8
erarbeiten,8
Geflüchtete,8
Beschäftigte,8
überprüfen,8
Prinzip,12
Dienste,10
Reduzierung,8
Verträge,8
Platz,8
Innovationen,8
Geschäftsmodelle,8
Pestiziden,8
gewährleistet,8
grenzüberschreitend,8
Netz,9
privaten,9
erfolgreich,8
wirksamen,8
schnelle,8
Mittelpunkt,8
Perspektive,8
anbieten,8
Kindern,8
Versorgung,8
Initiativen,8
Koordination,8
Bemühungen,8
Leid,8
vorgehen,8
Studierende,8
unterschiedlichen,8
transatlantischen,8
systematisch,8
Verbrechen,8
marginalisierten,8
zivilgesellschaftliche,8
Polizei,9
Geldwäsche,9
entschlossen,8
Europol,9
OK,9
Kontinents,7
verbindet,7
einzelnen,7
Handlungsfähigkeit,7
Einigung,7
enger,7
Fortschritt,7
gefährden,7
erneuerbare,7
Ausbildung,7
bauen,7
Geschichte,7
bündeln,7
Augenhöhe,7
begegnen,7
grünem,7
Vorreiterin,7
Wohnen,7
gesetzt,7
entscheidenden,7
klimafreundliche,7
teilhaben,7
langfristig,7
Verkehr,7
Verpflichtungen,7
fossilen,7
nötig,7
Importe,7
streben,7
führt,7
Aufnahme,7
verbindlichen,7
schnellen,7
beschleunigen,7
dauerhaft,7
attraktiver,7
langfristige,7
Umstellung,7
Hebel,7
Wertschöpfungsketten,7
EU-weiten,7
EU-Haushalt,7
hilft,7
Kompetenzen,7
durchsetzen,7
erfüllen,7
treffen,7
ändern,7
reduziert,7
Gesetzgebung,8
Nachhaltigkeit,7
Praktiken,7
Anteil,7
Hochschulen,7
Praxis,7
Programme,8
dar,7
ökologischen,7
verbessert,7
nachhaltigen,7
Ausweitung,7
Kooperationen,7
Produkten,8
selbstbestimmtes,7
beste,7
Schäden,7
Lebensräume,7
Biodiversität,7
kommunalen,7
Chemikalien,7
Personen,8
Lebensmitteln,7
Verbreitung,7
schließen,7
Gleichstellung,7
rechtlich,7
Jugendliche,7
intensivieren,7
angesichts,7
Konflikten,7
Außenpolitik,10
militärische,7
angemessen,7
Vorgehen,7
zivilen,7
menschlichen,7
Reformen,7
Beitrittsprozess,8
Türkei,7
Wahlen,7
Iran,8
autoritäre,7
Rassismus,7
Schutzsuchenden,7
rechtsstaatliche,7
Jahrzehnten,6
richtet,6
starkes,6
Werten,6
Fundament,6
Lebensgrundlagen,6
verbinden,6
Ebenen,6
Breite,6
unmittelbar,6
angewiesen,6
stoppen,6
Schritte,6
Richtung,6
gelingt,6
Haltung,6
Zielen,6
Antworten,6
Mitgliedstaat,6
Unabhängigkeit,6
Städten,6
attraktive,6
funktionierenden,6
gesellschaftliche,6
Lebensmittel,6
Wirkung,6
Voraussetzung,6
Reisen,6
Aufgaben,6
handlungsfähige,6
Herkunft,6
Vorgaben,6
erzeugen,6
Expertise,6
Voraussetzungen,6
entscheidend,6
Stromerzeugung,6
fossile,6
Gefahr,6
zentralen,6
Emissionshandel,7
wissenschaftlichen,6
gefährdet,6
Klimaabkommens,6
CO,18
gegebenenfalls,6
Energiewende,6
Priorität,6
nachhaltiges,6
Wälder,6
benötigen,6
evaluieren,6
Erforschung,6
Prozess,7
betroffen,6
solidarisch,6
Vorteile,6
dringend,6
Weiterbildung,6
Erneuerung,6
verschärft,6
verhindert,6
Mitte,6
EU-Ebene,6
Behinderungen,6
Vergabe,6
Bewältigung,6
Ausgaben,6
kritisch,6
Banken,6
Potenzial,6
durchgesetzt,6
finanziellen,6
Daseinsvorsorge,6
höheren,6
verpflichten,6
unterbinden,6
verursacht,6
Probleme,6
nationaler,6
Lebenshaltungskosten,6
Situation,6
Behandlung,6
Sozial,6
bewältigen,6
intensiviert,6
Missionen,8
Maße,6
Rechtssicherheit,6
lebt,6
Hürden,6
Anträge,6
enorme,6
erleben,6
Software,6
voranzutreiben,7
verringern,6
Gleichberechtigung,6
Verfügbarkeit,6
Verarbeitung,6
verfügbar,6
einheitliche,6
besonderen,6
offene,6
Systeme,6
jeweiligen,6
Markt,6
Inhalte,6
Erkenntnisse,6
weiterentwickelt,6
Abbau,6
liegen,6
transparente,6
Trinkwasser,6
Städte,6
Tierschutz,6
Einrichtungen,6
Mitgliedsländer,7
Räume,6
Verbesserung,6
größten,6
abgesichert,6
Realität,6
Freizügigkeit,6
Coronapandemie,6
retten,6
Dialog,6
öffentlicher,6
regionalen,6
erkennen,6
personell,6
Handelns,6
umfassend,6
inter,8
erweitern,6
Desinformationen,6
Kräften,6
politischer,6
Handelspolitik,6
Süden,6
Angriffe,6
NATO,9
rechtsstaatlichen,6
humanitären,6
einschränken,6
Erweiterung,7
Minderheiten,6
Bergkarabach,6
afrikanischen,6
Hetze,6
Justiz,6
Asyl,6
EU-Recht,6
Opfer,6
Straftaten,8
kriminelle,6
Idee,5
globaler,5
Wirtschaftsstandort,5
Bürokratie,5
erschwert,5
Wettbewerbsfähigkeit,5
Artenvielfalt,5
Kraft,5
Klimaziele,5
folgen,5
Stärke,5
Orientierung,5
Angebot,5
Großunternehmen,5
wettbewerbsfähig,5
Orte,5
entsteht,5
planetaren,5
Arbeitsplätzen,5
Grundlagen,5
lässt,5
fair,5
Luft,5
kämpfen,5
Energiegewinnung,5
moderne,5
Handwerk,5
Bedürfnisse,5
Dienst,5
echte,5
Stromnetz,5
System,9
erlauben,5
gemäß,5
wertvollen,5
Renaturierung,5
betroffenen,5
russische,5
abhängig,5
beendet,5
Müll,5
sicherer,5
Sektoren,5
ausgerichtet,5
verbindlich,5
Technologie,5
technisch,5
Herstellung,5
einheitlichen,5
gemeinsamer,5
handeln,5
Investitionsprogramm,5
Partnerländer,5
integrieren,5
jederzeit,5
Einkommen,5
Einnahmen,5
demokratisch,5
vereinfacht,5
beigetragen,5
wirtschaftlich,5
dienen,5
Umbau,5
genauso,5
Inflation,5
entwickelt,5
Fachkräften,5
Märkte,7
unbürokratisch,5
entscheidender,5
Förderpolitik,5
Management,5
schnellere,5
koordinieren,5
Beruf,5
wählen,5
Gewerkschaften,5
inklusiven,5
barrierefreien,5
Arbeitsplatz,5
partnerschaftliche,5
eingehalten,5
Mitteln,7
Finanzrahmen,5
Währungsunion,5
parlamentarische,5
Wachstum,5
Wiederaufbau,5
Auftrag,5
Stabilität,5
Kohärenz,5
beteiligen,5
Steueroasen,5
jährlich,5
aktuell,5
angehen,5
Pläne,5
Wettbewerbsbedingungen,5
sichtbar,5
Gesetz,9
Überprüfung,5
Ungleichheit,5
abzubauen,5
handlungsfähig,5
Ausland,5
geschlossen,5
kritische,5
Konzepte,5
Teilnahme,5
Universitäten,5
Gründer*innen,5
unabhängigen,5
sodass,5
regelmäßige,6
bürokratische,5
belastet,5
erleichtern,5
Akteuren,5
Bedürfnissen,5
erfolgreichen,5
Interoperabilität,5
Sprache,5
NGOs,9
zeigt,5
zunehmende,5
Internet,5
Druck,5
öffentlich,9
Gesetze,5
nötigen,5
diversifizieren,5
betroffene,5
Diversifizierung,5
Erhöhung,5
bereitstellen,5
Global,9
Verkehrswende,5
Konzept,5
Verkehrsmittel,5
umfasst,5
einfache,5
Barrierefreiheit,5
effiziente,5
größere,5
Vergangenheit,5
autoritären,5
Sorge,5
Anstrengungen,5
besonderem,5
Ausrichtung,5
unabdingbar,5
geführt,5
Biodiversitätskrise,5
ökologischer,5
Hierzu,5
rasch,5
Boden,5
Kennzeichnung,5
Anzahl,5
Stelle,5
ankommen,5
Leitbild,5
Fokus,5
maßgeblich,5
egal,5
schlechten,5
Entstehung,5
gesamte,5
Gesundheitsversorgung,5
Dimension,5
Arbeitswelt,5
verlässlichen,5
Wert,5
verpflichtet,5
wirksamer,5
Freiheiten,5
Koordinierung,5
ausgesetzt,5
Personal,5
Durchführung,5
Wohnraum,5
Eltern,5
berufliche,5
Fördermittel,6
gezwungen,5
einfließen,5
Beschaffung,5
Gesundheitskrisen,5
Arzneimittel,5
Arzneimitteln,5
Menschenleben,5
erfahren,5
Patient*innen,6
Beginn,5
Pflege,6
Fähigkeiten,5
Tausende,5
autoritärer,5
Jugendarbeit,5
Gemeinden,5
gleichberechtigt,5
partnerschaftlich,5
Cybersicherheit,5
staatlichen,5
engere,5
Mehrheit,5
Sicherheits,5
Istanbul-Konvention,5
sexuellen,5
militärischen,5
Waffen,5
verurteilen,5
engagieren,5
kulturellen,5
Missachtung,5
Partnerin,5
Armenien,5
Israels,5
Israel,5
trans,7
zügig,5
queere,5
Verteilung,5
Strafverfolgung,5
Antisemitismus,5
Asylverfahren,5
Terrorismus,5
größte,4
Konflikte,4
bewahren,4
vertreten,4
Ergänzung,4
technologische,4
Vorsorge,4
mehren,4
Verbraucherschutz,4
Löhne,4
saubere,4
Sicherung,4
erfordert,4
Märkten,4
Fach,4
grüner,4
Lösung,4
Lehre,4
mehreren,4
Antwort,4
zählt,4
voneinander,4
Löhnen,4
Intelligenz,4
Wäldern,4
verankert,4
klimaneutrales,4
gezielten,4
Wind,4
Stromnetze,4
Bahnnetz,4
aufstellen,4
Konkurrenz,4
gleichermaßen,4
aktiven,4
wirtschaften,4
weiterzuentwickeln,4
widerstandsfähiger,4
Versorgungssicherheit,4
integrierte,4
Strommarktdesign,4
Preis,4
erneuerbarem,4
erlaubt,4
Netze,4
Grundsatz,4
Generationen,4
Öl,4
ersetzen,4
Erneuerbare,4
Bau,4
falsch,4
betrachtet,4
zuverlässig,4
Nationen,5
Reduktion,5
Gemeinsamen,4
rein,4
Branchen,4
natürliche,4
technische,4
entziehen,4
Vorrang,4
verstärkte,4
Wiedervernässung,4
Bewirtschaftung,4
rechtlichen,6
Erreichen,4
Transport,4
frühzeitig,4
zusätzlich,4
weltweiten,4
lokalen,4
Wasserversorgung,4
Import,4
vorrangig,4
schwer,4
hoher,4
Veränderungen,4
ausgestaltet,4
produzieren,4
Leistungen,4
Zustand,4
gezielte,4
schweren,4
Krise,4
droht,4
Säule,4
voll,4
unabhängiger,4
starker,4
wesentliche,4
Förderprogramme,6
relevante,4
koordinierte,4
massiven,4
Maß,4
finanzieren,4
Gemeinwohl,4
entgegenzuwirken,4
voranzubringen,4
anzubieten,4
Regel,4
bezahlten,4
Marktmacht,4
Planungssicherheit,4
stabile,4
Arbeits,4
feministische,4
Geschlechter,4
Weltregionen,4
Sozialstandards,4
Ausstattung,4
Vorhaben,4
höhere,4
Handlungsspielraum,4
streiten,4
zugutekommen,4
verstetigen,4
Krisenzeiten,4
Mehrheitsentscheidungen,4
Steuern,4
Taxonomie,4
erfasst,4
Vorschläge,4
Ausgestaltung,4
begleiten,4
ausstatten,4
Hierfür,4
Verlagerung,4
Gewinnen,4
Missbrauch,4
Erkennung,4
Gütern,4
Organisation,4
entlasten,4
klimafreundlichen,4
Grundlagenforschung,4
Transfer,5
laufenden,4
lebendige,4
resiliente,4
Verständnis,4
Aufbauend,4
Ursachen,4
verstehen,4
Start-ups,4
Kompass,4
Tisch,4
Motor,4
Gesetzen,4
angemessene,4
Verwaltung,4
automatisiert,4
Verlässlichkeit,4
zählen,4
Digitale,9
Datenschutz,5
schonen,4
zeigen,4
Netzwerke,4
Schutzes,4
Grund,4
erleichtert,4
Augenmerk,4
erfolgreiche,4
Beispiele,4
gelegt,4
Zusammenhang,4
Debatte,4
Rohstoffquellen,4
Rohstoffsicherheit,4
zeitnah,4
Wiederverwendung,4
Reparatur,4
aufbauen,4
wertvolle,4
Riegel,4
Gateway,8
Wege,4
einheitliches,4
Bahn,4
jeweils,4
Angeboten,4
arbeitet,4
Kern,4
Beschäftigten,4
Pkw,6
Preise,4
Gewicht,4
Alternativen,4
freiwillige,4
Mittelmeer,4
Vereinbarungen,4
Naturschutz,4
Arten,4
Pflanzen,4
naturnahe,4
Mindeststandards,4
vielfältig,4
spielt,4
Dürren,4
Flüsse,4
notwendig,4
zunehmenden,4
illegalen,4
Forschungs,4
Strafe,4
breite,4
aufgenommen,4
betrachten,4
zusätzliche,4
Angesichts,4
Teller,4
Identität,4
Zeichen,4
befürworten,4
Sozialstaat,4
verlassen,4
Respekt,4
Monitoring,4
einbezogen,4
EU-Bürger*innen,4
funktioniert,4
EU-Land,4
Unterschiede,4
kompliziert,4
Lücken,4
Sozialsysteme,4
eingeschränkt,4
Staates,4
Notlagen,4
Notfall,4
Änderung,4
verletzt,4
verteidigt,4
garantiert,4
gestaltet,4
beraten,4
Mechanismen,4
Foren,4
Jugendlichen,4
sogenannten,4
Staat,4
Notsituationen,4
Aufklärung,4
Erkrankungen,5
Expert*innen,5
Betroffenen,4
vulnerable,4
ermutigen,4
teilweise,4
kriminellen,4
Cannabis,4
Kriminalisierung,4
Konsument*innen,4
selbstbestimmt,4
Geld,4
teils,4
Demokratien,4
wenden,4
Königreich,4
Osteuropa,4
Europawahl,4
erkennbar,4
langfristigen,4
rechtssicher,4
infrage,4
Chinas,4
Repräsentanz,4
konstruktiv,4
Abschottung,4
beteiligt,4
Bearbeitung,4
völkerrechtswidrigen,4
Parlaments,4
Flucht,4
Handeln,4
chinesische,4
Einbindung,4
Entwicklungspolitik,4
Angriffskriegs,4
Hälfte,4
entwicklungspolitischen,4
schwere,4
Menschenrechtsverletzungen,4
Wiedergutmachung,4
Internets,4
Verteidigungspolitik,4
Kapazitäten,4
Beitritt,5
evaluiert,4
Geschlechtergerechtigkeit,4
Gemeinsame,4
Rüstungskontrolle,4
völkerrechtlichen,4
aktuellen,4
humanitäre,4
Erbe,4
Kriegsverbrechen,4
Verstößen,4
Barrieren,4
Aktivitäten,4
Zwangsarbeit,4
erwarten,4
Verständigung,4
Menschenrechten,4
trotz,4
Opposition,4
indopazifischen,4
Kontrollen,4
aufnehmen,4
Lateinamerika,4
systematische,4
Parteien,4
Ermittlungsbehörden,4
Queerfeindlichkeit,4
Beratungsstrukturen,4
angegriffen,4
Künstler*innen,4
Kulturschaffende,4
Urheber*innen,4
EU-Staaten,4
Agentur,4
geordnete,4
illegale,4
Frontex,6
behindert,4
Nachrichtendienste,4
verbreiten,4
Entscheidung,3
wenigen,3
Stacheldraht,3
Rechtsstaat,3
Nachbar*innen,3
Garantin,3
selbstverständlich,3
Willen,3
Ukrainer*innen,3
täglich,3
Absage,3
Hintergrund,4
wahren,3
eng,3
Zerstörung,3
definieren,3
Jahrzehnte,3
Wirklichkeit,3
Solaranlagen,3
modernen,3
Willkür,3
Investitionspolitik,3
ökologisch,3
baut,3
reguliert,3
unnötige,3
verschiedener,3
verfolgen,3
Klimawandels,3
Verschmutzung,3
veränderten,3
rasche,3
überzeugt,3
Brücken,3
Erneuerbaren,3
bereit,3
Kompromiss,3
uneingeschränkt,3
Einheit,3
leidet,3
Kapitel,3
Fähigkeit,3
entfernt,3
Weichen,3
Plan,3
stabilen,3
Wohle,3
Kritische,3
naturnahen,3
Landschaften,3
Zusammenspiel,3
Nachbarschaft,3
Räumen,3
Erholung,3
reisen,3
erneuern,3
Agenda,3
Strategie,7
bezahlbar,3
Wärme,3
abgestimmt,3
Geschlecht,3
religiöse,3
effizienter,3
Energieeffizienz,3
Dekarbonisierung,3
Energiespeichern,3
Wärmepumpen,3
kontinuierlich,3
gebraucht,3
erhöht,3
gegenseitig,3
fit,3
richten,3
zielgerichtet,3
Stromverbraucher*innen,3
Emissionshandels,3
entlastet,3
Batterien,3
Kohle,3
Entschädigungen,3
Ausstieg,3
Brennstoffe,3
Modell,3
Bedrohung,3
langwierig,3
Gründen,3
abbildet,3
zukünftige,3
erneuerbarer,3
gesenkt,3
Gebäude,3
Empfehlungen,3
Vereinten,3
angepasst,3
Agrarpolitik,5
klimaschädliche,3
Gas,3
Stand,3
speichern,3
Verursacherprinzip,3
CO-Speicher,3
Meer,3
voraus,3
mittelfristig,3
Verbündeten,3
Auen,3
Moorböden,3
Meere,3
kluge,3
Mooren,3
zukünftigen,3
Elektrifizierung,3
Instrumenten,3
minimieren,3
dezentralen,3
Zugänge,3
knapper,3
Rohstoff,3
Produktionsprozessen,3
priorisiert,3
See,3
geboten,3
geschlechtergerecht,3
Klimageld,3
mittleren,3
finanziert,3
Effizienz,3
Abhängigkeit,3
aufzeigen,3
beschränkt,3
Erlöse,3
Langfristig,3
sicherstellt,3
verwirklichen,3
Industrien,4
Firmen,3
reicht,3
hergestellt,3
Zusätzlich,3
Kapital,3
industrielle,3
energieintensive,3
Genehmigungsverfahren,3
industrieller,3
Förderprogrammen,4
verschiedene,3
bekämpft,3
Ausnahmen,3
Kontext,3
gewinnen,3
hängt,3
ausbilden,3
EU-Ländern,3
Bezahlung,3
Berufe,5
strukturschwachen,3
relevanten,3
schen,3
einzusetzen,3
betrifft,3
anstehenden,3
Vetos,3
Kapitalmarktunion,3
echten,3
funktionierende,3
notwendige,3
sinnvoll,3
nachvollziehbar,3
Investitionsbank,3
Euro,4
Zugriff,3
sicheres,3
öffentliches,3
Inklusion,3
Zeitalter,3
Spekulation,3
Spekulationen,3
einzudämmen,3
resilienter,3
Nachhaltigkeitszielen,3
Klimaabkommen,3
regelmäßigen,3
Trennung,3
schrittweise,3
offenlegen,3
kleineren,3
Grüne,3
gesorgt,3
Labels,3
Schulen,3
Bus,3
Bahninfrastruktur,3
Reihe,3
Steuerbetrug,3
Milliarden,3
EU-Liste,3
automatisch,3
wesentlich,3
Vorschlag,3
diskriminierungsfrei,3
Risiko,3
erschweren,3
weltweite,3
einzelne,3
adressieren,3
Konzentration,4
zugenommen,3
größeren,3
Kriegs,3
Schlupflöcher,3
freien,3
sucht,3
Umfang,3
völkerrechtswidrige,3
orientiert,3
Studien,3
Nichtregierungsorganisationen,3
EU-Gelder,3
zuverlässigen,3
koordiniert,3
Ergänzend,3
Investor*innen,3
Fonds,5
überprüft,3
zentrales,3
Bürokratieabbau,3
digital,3
eingeführt,3
austauschen,3
grundlegende,3
denken,3
Vereinfachung,3
schwerer,3
selbstbewusst,3
Rechenzentren,3
IT-Sicherheit,3
erforderlich,3
Etablierung,3
Nachhaltigkeitsstandards,3
zahlreiche,3
Zusammenleben,3
wissenschaftliche,3
personenbezogenen,3
verbesserten,3
vorangetrieben,3
geprägt,3
Bürger*innen-Rechte,3
ausschließen,3
Ansprüche,3
Wirtschaftsräume,3
sprechen,3
Forschungseinrichtungen,3
Standardisierung,3
Vertreter*innen,3
unterschiedlicher,3
öffnen,3
mitwirken,3
bedeutende,3
Algorithmen,4
Plattform,3
binden,3
Bereitstellung,3
Gründung,3
verpflichtende,3
Aktionsplan,5
knappen,3
langlebige,3
alternative,3
globales,3
eintreten,3
kritischen,3
ersetzt,3
Züge,3
Plans,3
Schiene,4
verlässlicher,3
versetzen,3
Fahrkarten,3
Reisende,3
Zug,3
ÖPNV,5
offenen,3
Schnittstellen,4
barrierefreie,3
notwendiger,3
kostenlos,3
Straßenverkehr,3
Lkw,4
effizientere,3
Häfen,3
Investitionsbedarf,3
Einbeziehung,3
EU-weite,3
benachteiligt,3
Vision,3
Abdeckung,3
Harmonisierung,3
Reichtum,3
historische,3
erstmals,3
Hohen,3
NRL,4
Kurs,3
verbesserte,3
ausgeschlossen,3
Internationalen,3
Bodenfruchtbarkeit,3
Bauen,3
Hinblick,3
präventive,3
vernetzen,3
tragfähige,3
einzuführen,3
Agroforstsysteme,3
Fläche,3
renaturieren,3
partnerorientiert,3
Spielzeug,3
Substanzen,3
Programms,4
klimagerechte,3
Grundrecht,3
Moore,3
Qualität,3
aufstocken,3
sektorübergreifende,3
vorgesehen,3
